"product_url";"price";"location";"description";"title"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"/p/single-room-flatshare/looking-for-large-room-with-great-london-views-deptford-room-available-now-/1146424897";"128pw";"South East London, London";"Large COSY Bedroom Available NOW in Zone 2.
Price: 128 PW Single, 145 PW Double
400 deposit required and will be refunded once leaving the room.
All bills included
Min 3-months stay
ALL the amenities provided:
Comfortable bed;
W";"LOOKING FOR LARGE ROOM with Great LONDON Views?? DEPTFORD ROOM AVAILABLE NOW!"
"/p/single-room-flatshare/single-room-to-let-house-share/1146064701";"650pm";"Kilburn, London";"All bills included , brand new refurbished house, shared by three young professionals.
Looking for a responsible, tidy and clean house mate.
5 min from Kilburn Tube Station ( Jubilee) and Brondesbury Overground Train Station
Lots of shops and pu";"Single Room to let / House Share"
"/p/single-room-flatshare/lovely-room-facing-the-garden-in-n17-all-bills-included-/1142558822";"125pw";"Seven Sisters, London";"A lovely room facing the garden in a quiet residential area. We are a friendly and quiet married couple renting out one room in our 2 bedroom flat, to a happy, friendly and outgoing person. You will be sharing a kitchen and bathroom with us and even";"LOVELY ROOM FACING THE GARDEN IN N17, ALL BILLS INCLUDED"
"/p/single-room-flatshare/28th-december-single-room-in-south-quays-only-135pw-bills-wifi-included-/1146562790";"135pw";"Isle of Dogs, London";"6 Bedroom House
Bathroom & Toilet
Shower & Toilet
Large Kitchen
Garden
IF YOU ARE UNABLE TO ATTEND A VIEWING OR YOU ARE NOT IN LONDON THEN BOOK THIS ROOM WITH THE 300 RESERVATION DEPOSIT!
Admin fee - 197 ( One off payment )
4 weeks d";"28th December !!!! Single Room in SOUTH QUAYS ONLY 135PW BILLS + WIFI INCLUDED !!"
"/p/single-room-flatshare/large-bright-room-with-garden-available-now-92-p-week.-deptford-bridge-dlr-station-4-minutes-walk./1146426270";"92pw";"Greenwich, London";"Hi there,
this lovely single room features a single bed, large wardrobe, WiFi connection, laminated floor.
Kitchen and Bathroom to be shared.
Price: 92 per week
Deposit 400
Min 3-months stay
DEPTFORD High Street is a great area with";"Large Bright Room with GARDEN Available Now 92 p/week. Deptford Bridge DLR station 4 minutes walk."
"/p/single-room-flatshare/spacious-single-room-in-central-london-available-now-10min-walk-from-oxford-circus/1147107285";"180pw";"Camden, London";"Lovely double room for a single person available now in central london!
Room fully furnished, double bed , desk , and wardrobe.
Located only 10 min walk away from Oxford circus , camden town and regents park!
Supermarkets next door
Several tub";"Spacious single room in Central London available now, 10min walk from Oxford circus"
"/p/single-room-flatshare/box-room-to-let/1147106648";"65pw";"Heathrow, London";"Box Room To Let on Stains Road, Hounslow. Suitable for single working man or woman. Looking for vegetarian and non smoker person.
A NON KITCHEN USER. i.e. No Cooking!
Microwave available!
All bills included as well as WIFI available.
Near by b";"Box Room To Let"
"/p/single-room-flatshare/single-room-for-rent/1147106254";"105pw";"Newham, London";"Hello , I have a single room in Clifford road , Canning Town
Rent :105/week
Including all utility bills, internet and council tax.
-2 toilet with shower, garden .private parking
- 1 mins walk to 24 hours bus stop, 4/5 mins walk to star lane dl";"Single room for rent"
"/p/single-room-flatshare/nice-single-room-available-canning-town/1147105927";"105pw";"Newham, London";"Hello , I have a single room in Clifford road , Canning Town
Rent :105/week
Including all utility bills, internet and council tax.
-2 toilet with shower, garden .private parking
- 1 mins walk to 24 hours bus stop, 4/5 mins walk to star lane dl";"Nice single room available @canning town"
"/p/single-room-flatshare/single-room-to-let/1147104988";"110pw";"Stratford, London";"*Fully Furnished Single room*
2 x Single room, avaliable to be viewed in a good location. This clean house well looked after.
There're also shops: TK Max, Next, ASDA super store, Currys, B&Q, Fitness First and etc.
There is: a microwave, kettle";"Single room to let"
