"title","location","price","product_url"
"Single Room to let / House Share","Kilburn, London","650.0","/p/single-room-flatshare/single-room-to-let-house-share/1146064701"
"Massive Room For One Person In A Specious Flat","Aldgate, London","653.55","/p/single-room-flatshare/massive-room-for-one-person-in-a-specious-flat-/1147155509"
"Single room at Bethnal green","Brick Lane, London","522.84","/p/single-room-flatshare/single-room-at-bethnal-green/1147154873"
"Roomshare 2-5 mint Bethnal Green,Shoreditch,Brick Lane,Whitechapel, Old Street,Queen Mary,TEsco","Brick Lane, London","348.56","/p/single-room-flatshare/roomshare-2-5-mint-bethnal-green-shoreditch-brick-lane-whitechapel-old-street-queen-mary-tesco/1147154123"
"Room share 3-4 mint Bethnal Green,Shoreditch,Brick Lane,Whitechapel, Old Street,Queen Mary,TEsco","Brick Lane, London","348.56","/p/single-room-flatshare/room-share-3-4-mint-bethnal-green-shoreditch-brick-lane-whitechapel-old-street-queen-mary-tesco/1147154112"
"2 single room zone 1/2 East Bethnal Green Shoreditch Shadwell Brick Lane","Brick Lane, London","544.625","/p/single-room-flatshare/2-single-room-zone-1-2-east-bethnal-green-shoreditch-shadwell-brick-lane/1147154023"
"Double room for one person","Islington, London","631.765","/p/single-room-flatshare/double-room-for-one-person/1147153797"
"very nice big single bedroom in a wonderful green and silent court - all bills are included","Chiswick, London","718.905","/p/single-room-flatshare/very-nice-big-single-bedroom-in-a-wonderful-green-and-silent-court-all-bills-are-included/1147151388"
"Great Single Room in West London!","Acton, London","560.0","/p/single-room-flatshare/great-single-room-in-west-london-/1147150243"
"A Single Room in Convenience Place Elephant & Castle (zone 1)","Kennington, London","400.844","/p/single-room-flatshare/a-single-room-in-convenience-place-elephant-castle-zone-1-/1147148037"
"Spacious single room in Central London available now, 10min walk from Oxford circus","Camden, London","740.69","/p/single-room-flatshare/spacious-single-room-in-central-london-available-now-10min-walk-from-oxford-circus/1147138151"
"nice and quiet wooden single room in flat share with terrace. SHORT OR LONG TERM","Kilburn, London","2396.35","/p/single-room-flatshare/nice-and-quiet-wooden-single-room-in-flat-share-with-terrace.-short-or-long-term/1147137105"
"Small single room Coldharbour lane 5 min walk from station all bills and WIFI","Lambeth, London","500.0","/p/single-room-flatshare/small-single-room-coldharbour-lane-5-min-walk-from-station-all-bills-and-wifi/1147135480"
"Available Now: Comfortable & Attractive Large Single Room","Kilburn, London","653.55","/p/single-room-flatshare/available-now-comfortable-attractive-large-single-room/1147132204"
"Attractive & Comfortable Large Single Room","Kilburn, London","653.55","/p/single-room-flatshare/attractive-comfortable-large-single-room/1147131856"
"BEAUTIFUL DOUBLE ROOM IN A LOVELY FLAT WITH LARGE LIVING ROOM. JUST 7 min WALKING FROM BRICK LANE","Whitechapel, London","688.406","/p/single-room-flatshare/beautiful-double-room-in-a-lovely-flat-with-large-living-room.-just-7-min-walking-from-brick-lane/1087278261"
"Lovely Large Single to Rent For &#163;140 a Week!","Southwark, London","609.98","/p/single-room-flatshare/lovely-large-single-to-rent-for-&#163;140-a-week-/1147128072"
"SINGLE ROOM AVALABLE FROM THE 29TH DEC 2015","Shepherds Bush, London","700.0","/p/single-room-flatshare/single-room-avalable-from-the-29th-dec-2015-/1147123539"
"1 double room for rent flat share one bedroom single room double room couple or single person","Bethnal Green, London","609.98","/p/single-room-flatshare/1-double-room-for-rent-flat-share-one-bedroom-single-room-double-room-couple-or-single-person/1147123054"
"Cosy room for a girl in a newly built flat (zone 1!)","Tower Bridge, London","700.0","/p/single-room-flatshare/cosy-room-for-a-girl-in-a-newly-built-flat-zone-1-/1147118884"
"nice double room for single only, all bills included, close to tube.","Whitechapel, London","631.765","/p/single-room-flatshare/nice-double-room-for-single-only-all-bills-included-close-to-tube./1147116562"
"Single room for quite girl only","Shepherds Bush, London","348.56","/p/single-room-flatshare/single-room-for-quite-girl-only/1147112705"
"cozy single room in zone 2 move in asap","Kilburn, London","460.0","/p/single-room-flatshare/cozy-single-room-in-zone-2-move-in-asap/1147111593"
"Single room to rent in Hammersmith","Fulham, London","566.41","/p/single-room-flatshare/single-room-to-rent-in-hammersmith/1147110632"
"Spacious single room in Central London available now, 10min walk from Oxford circus","Camden, London","784.26","/p/single-room-flatshare/spacious-single-room-in-central-london-available-now-10min-walk-from-oxford-circus/1147107285"
"Single room in W2 from 23dec-4jan","Westminster, London","60.998","/p/single-room-flatshare/single-room-in-w2-from-23dec-4jan/1147104798"
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"Single Room to let / House Share","Kilburn, London","650.0","/p/single-room-flatshare/single-room-to-let-house-share/1146064701"
"2 single room 4-6 mints Finsbury Park,Camden Town,Arsenal, Holloway Road,Kings Cross, Euston","Islington, London","392.13","/p/single-room-flatshare/2-single-room-4-6-mints-finsbury-park-camden-town-arsenal-holloway-road-kings-cross-euston/1147102973"
"2 single room 3-6 mints Finsbury Park,Camden Town,Arsenal, Holloway Road,Kings Cross, Euston","Islington, London","392.13","/p/single-room-flatshare/2-single-room-3-6-mints-finsbury-park-camden-town-arsenal-holloway-road-kings-cross-euston/1147102929"
"Spacious single room available now! 10min walk from Oxford circus and Camden town","Camden, London","784.26","/p/single-room-flatshare/spacious-single-room-available-now-10min-walk-from-oxford-circus-and-camden-town/1147092220"
"Nice double room with all bills included perfer for one person, close to tube, available soon.","Whitechapel, London","631.765","/p/single-room-flatshare/nice-double-room-with-all-bills-included-perfer-for-one-person-close-to-tube-available-soon./1147077794"
"SINGLE ROOM 5 MINUTES WALKING FROM BETHNAL GREEN STATION !","Whitechapel, London","392.13","/p/single-room-flatshare/single-room-5-minutes-walking-from-bethnal-green-station-/1147074756"
"Looking for female to share property","Tower Hamlets, London","653.55","/p/single-room-flatshare/looking-for-female-to-share-property/1147074155"
"Double room in archway for 1 person","Holloway, London","650.0","/p/single-room-flatshare/double-room-in-archway-for-1-person/1147073531"
"Single studio ensuite with small kitchenette , all bills included nw6","Kilburn, London","784.26","/p/single-room-flatshare/single-studio-ensuite-with-small-kitchenette-all-bills-included-nw6/1146856345"
"single room all bills included with wifi , sharing kitchen and sharing bathroom","Kilburn, London","784.26","/p/single-room-flatshare/single-room-all-bills-included-with-wifi-sharing-kitchen-and-sharing-bathroom-/1146952342"
"Single Room to let in a Shared Flat near Bethnal Green Tube , &#163;330 pm including, Bangladeshi Prefer","Hackney, London","330.0","/p/single-room-flatshare/single-room-to-let-in-a-shared-flat-near-bethnal-green-tube-&#163;330-pm-including-bangladeshi-prefer/1147066499"
"Single room","Notting Hill, London","522.84","/p/single-room-flatshare/single-room/1147063575"
"Single room to let","Islington, London","435.7","/p/single-room-flatshare/single-room-to-let/1147063085"
"New Single Room for female - 2Min Walk to Bermondsey Tube","Tower Bridge, London","566.41","/p/single-room-flatshare/new-single-room-for-female-2min-walk-to-bermondsey-tube/1147054631"
"03 single rooms available starting from GBP.170 - GBP.180 - GBP.210 W2","Westminster, London","170.0","/p/single-room-flatshare/03-single-rooms-available-starting-from-gbp.170-gbp.180-gbp.210-w2/1147043075"
"Single room in Hyde Park Mansions , all bills included with wifi , NW1 edgware road","Westminster, London","740.69","/p/single-room-flatshare/single-room-in-hyde-park-mansions-all-bills-included-with-wifi-nw1-edgware-road-/1147041009"
"Nice single room in centre minutes walk from tube ideal for young professionals or tidy students","Kensington, London","762.475","/p/single-room-flatshare/nice-single-room-in-centre-minutes-walk-from-tube-ideal-for-young-professionals-or-tidy-students/1147035049"
"Single room in Suburb house","Whitechapel, London","718.905","/p/single-room-flatshare/single-room-in-suburb-house/1147034600"
